# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-04-23 12:29:32 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04095090 PORTAGE-BURNS WATERWAY AT PORTAGE, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 04095090
#    DD parameter   Description
#    01   00055     Stream velocity, feet per second
#    30   00010     Temperature, water, degrees Celsius
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	30_00010	30_00010_cd
USGS	04095090	2011-07-15 17:45	EST	24.0	A
USGS	04095090	2011-07-15 18:00	EST	24.1	A
USGS	04095090	2011-07-15 18:15	EST	24.2	A
USGS	04095090	2011-07-15 18:30	EST	24.3	A
USGS	04095090	2011-07-15 18:45	EST	24.3	A
USGS	04095090	2011-07-15 19:00	EST	24.4	A
USGS	04095090	2011-07-15 19:15	EST	24.3	A
USGS	04095090	2011-07-15 19:30	EST	24.3	A
USGS	04095090	2011-07-15 19:45	EST	24.5	A
USGS	04095090	2011-07-15 20:00	EST	24.5	A
USGS	04095090	2011-07-15 20:15	EST	24.6	A
USGS	04095090	2011-07-15 20:30	EST	24.6	A
USGS	04095090	2011-07-15 20:45	EST	24.6	A
USGS	04095090	2011-07-15 21:00	EST	24.6	A
USGS	04095090	2011-07-15 21:15	EST	24.6	A
USGS	04095090	2011-07-15 21:30	EST	24.6	A
USGS	04095090	2011-07-15 21:45	EST	24.6	A
USGS	04095090	2011-07-15 22:00	EST	24.6	A
USGS	04095090	2011-07-15 22:15	EST	24.6	A
USGS	04095090	2011-07-15 22:30	EST	24.7	A
USGS	04095090	2011-07-15 22:45	EST	24.7	A
USGS	04095090	2011-07-15 23:00	EST	24.7	A
USGS	04095090	2011-07-15 23:15	EST	24.7	A
USGS	04095090	2011-07-15 23:30	EST	24.6	A
USGS	04095090	2011-07-15 23:45	EST	24.6	A
USGS	04095090	2011-07-16 00:00	EST	24.6	A
USGS	04095090	2011-07-16 00:15	EST	24.5	A
USGS	04095090	2011-07-16 00:30	EST	24.4	A
USGS	04095090	2011-07-16 00:45	EST	24.2	A
USGS	04095090	2011-07-16 01:00	EST	24.0	A
USGS	04095090	2011-07-16 01:15	EST	23.9	A
USGS	04095090	2011-07-16 01:30	EST	24.0	A
USGS	04095090	2011-07-16 01:45	EST	23.9	A
USGS	04095090	2011-07-16 02:00	EST	23.9	A
USGS	04095090	2011-07-16 02:15	EST	23.8	A
USGS	04095090	2011-07-16 02:30	EST	23.7	A
USGS	04095090	2011-07-16 02:45	EST	23.6	A
USGS	04095090	2011-07-16 03:00	EST	23.6	A
USGS	04095090	2011-07-16 03:15	EST	23.6	A
USGS	04095090	2011-07-16 03:30	EST	23.6	A
USGS	04095090	2011-07-16 03:45	EST	23.6	A
USGS	04095090	2011-07-16 04:00	EST	23.6	A
USGS	04095090	2011-07-16 04:15	EST	23.6	A
USGS	04095090	2011-07-16 04:30	EST	23.6	A
USGS	04095090	2011-07-16 04:45	EST	23.6	A
USGS	04095090	2011-07-16 05:00	EST	23.7	A
USGS	04095090	2011-07-16 05:15	EST	23.6	A
USGS	04095090	2011-07-16 05:30	EST	23.6	A
USGS	04095090	2011-07-16 05:45	EST	23.6	A
USGS	04095090	2011-07-16 06:00	EST	23.6	A
USGS	04095090	2011-07-16 06:15	EST	23.6	A
USGS	04095090	2011-07-16 06:30	EST	23.6	A
USGS	04095090	2011-07-16 06:45	EST	23.5	A
USGS	04095090	2011-07-16 07:00	EST	23.5	A
USGS	04095090	2011-07-16 07:15	EST	23.6	A
USGS	04095090	2011-07-16 07:30	EST	23.6	A
USGS	04095090	2011-07-16 07:45	EST	23.6	A
USGS	04095090	2011-07-16 08:00	EST	23.5	A
USGS	04095090	2011-07-16 08:15	EST	23.4	A
USGS	04095090	2011-07-16 08:30	EST	23.4	A
USGS	04095090	2011-07-16 08:45	EST	23.4	A
USGS	04095090	2011-07-16 09:00	EST	23.3	A
USGS	04095090	2011-07-16 09:15	EST	23.4	A
USGS	04095090	2011-07-16 09:30	EST	23.5	A
USGS	04095090	2011-07-16 09:45	EST	23.6	A
USGS	04095090	2011-07-16 10:00	EST	23.6	A
USGS	04095090	2011-07-16 10:15	EST	23.6	A
USGS	04095090	2011-07-16 10:30	EST	23.6	A
USGS	04095090	2011-07-16 10:45	EST	23.6	A
USGS	04095090	2011-07-16 11:00	EST	23.6	A
USGS	04095090	2011-07-16 11:15	EST	23.5	A
USGS	04095090	2011-07-16 11:30	EST	23.5	A
USGS	04095090	2011-07-16 11:45	EST	23.4	A
USGS	04095090	2011-07-16 12:00	EST	23.3	A
USGS	04095090	2011-07-16 12:15	EST	23.4	A
USGS	04095090	2011-07-16 12:30	EST	23.4	A
USGS	04095090	2011-07-16 12:45	EST	23.4	A
USGS	04095090	2011-07-16 13:00	EST	23.4	A
USGS	04095090	2011-07-16 13:15	EST	23.5	A
USGS	04095090	2011-07-16 13:30	EST	23.5	A
USGS	04095090	2011-07-16 13:45	EST	23.4	A
USGS	04095090	2011-07-16 14:00	EST	23.4	A
USGS	04095090	2011-07-16 14:15	EST	23.4	A
USGS	04095090	2011-07-16 14:30	EST	23.6	A
USGS	04095090	2011-07-16 14:45	EST	23.6	A
USGS	04095090	2011-07-16 15:00	EST	23.7	A
USGS	04095090	2011-07-16 15:15	EST	23.9	A
USGS	04095090	2011-07-16 15:30	EST	23.8	A
USGS	04095090	2011-07-16 15:45	EST	23.7	A
USGS	04095090	2011-07-16 16:00	EST	23.8	A
USGS	04095090	2011-07-16 16:15	EST	24.0	A
USGS	04095090	2011-07-16 16:30	EST	24.0	A
USGS	04095090	2011-07-16 16:45	EST	24.0	A
USGS	04095090	2011-07-16 17:00	EST	24.0	A
USGS	04095090	2011-07-16 17:15	EST	24.0	A
USGS	04095090	2011-07-16 17:30	EST	24.0	A
USGS	04095090	2011-07-16 17:45	EST	24.0	A
USGS	04095090	2011-07-16 18:00	EST	24.0	A
USGS	04095090	2011-07-16 18:15	EST	24.1	A
USGS	04095090	2011-07-16 18:30	EST	24.3	A
USGS	04095090	2011-07-16 18:45	EST	24.5	A
USGS	04095090	2011-07-16 19:00	EST	24.5	A
USGS	04095090	2011-07-16 19:15	EST	24.5	A
USGS	04095090	2011-07-16 19:30	EST	24.4	A
USGS	04095090	2011-07-16 19:45	EST	24.4	A
USGS	04095090	2011-07-16 20:00	EST	24.3	A
USGS	04095090	2011-07-16 20:15	EST	24.3	A
USGS	04095090	2011-07-16 20:30	EST	24.2	A
USGS	04095090	2011-07-16 20:45	EST	24.3	A
USGS	04095090	2011-07-16 21:00	EST	24.2	A
USGS	04095090	2011-07-16 21:15	EST	24.3	A
USGS	04095090	2011-07-16 21:30	EST	24.4	A
USGS	04095090	2011-07-16 21:45	EST	24.6	A
USGS	04095090	2011-07-16 22:00	EST	24.5	A
USGS	04095090	2011-07-16 22:15	EST	24.4	A
USGS	04095090	2011-07-16 22:30	EST	24.5	A
USGS	04095090	2011-07-16 22:45	EST	24.5	A
USGS	04095090	2011-07-16 23:00	EST	24.5	A
USGS	04095090	2011-07-16 23:15	EST	24.4	A
USGS	04095090	2011-07-16 23:30	EST	24.3	A
USGS	04095090	2011-07-16 23:45	EST	24.3	A
USGS	04095090	2011-07-17 00:00	EST	24.3	A
USGS	04095090	2011-07-17 00:15	EST	24.2	A
USGS	04095090	2011-07-17 00:30	EST	24.2	A
USGS	04095090	2011-07-17 00:45	EST	24.2	A
USGS	04095090	2011-07-17 01:00	EST	24.2	A
USGS	04095090	2011-07-17 01:15	EST	24.2	A
USGS	04095090	2011-07-17 01:30	EST	24.2	A
USGS	04095090	2011-07-17 01:45	EST	24.2	A
USGS	04095090	2011-07-17 02:00	EST	24.2	A
USGS	04095090	2011-07-17 02:15	EST	24.0	A
USGS	04095090	2011-07-17 02:30	EST	23.9	A
USGS	04095090	2011-07-17 02:45	EST	23.8	A
USGS	04095090	2011-07-17 03:00	EST	23.7	A
USGS	04095090	2011-07-17 03:15	EST	23.6	A
USGS	04095090	2011-07-17 03:30	EST	23.6	A
USGS	04095090	2011-07-17 03:45	EST	23.6	A
USGS	04095090	2011-07-17 04:00	EST	23.6	A
USGS	04095090	2011-07-17 04:15	EST	23.6	A
USGS	04095090	2011-07-17 04:30	EST	23.5	A
USGS	04095090	2011-07-17 04:45	EST	23.5	A
USGS	04095090	2011-07-17 05:00	EST	23.6	A
USGS	04095090	2011-07-17 05:15	EST	23.5	A
USGS	04095090	2011-07-17 05:30	EST	23.4	A
USGS	04095090	2011-07-17 05:45	EST	23.4	A
USGS	04095090	2011-07-17 06:00	EST	23.4	A
USGS	04095090	2011-07-17 06:15	EST	23.4	A
USGS	04095090	2011-07-17 06:30	EST	23.2	A
USGS	04095090	2011-07-17 06:45	EST	23.2	A
USGS	04095090	2011-07-17 07:00	EST	23.2	A
USGS	04095090	2011-07-17 07:15	EST	23.3	A
USGS	04095090	2011-07-17 07:30	EST	23.4	A
USGS	04095090	2011-07-17 07:45	EST	23.5	A
USGS	04095090	2011-07-17 08:00	EST	23.4	A
USGS	04095090	2011-07-17 08:15	EST	23.4	A
USGS	04095090	2011-07-17 08:30	EST	23.4	A
USGS	04095090	2011-07-17 08:45	EST	23.2	A
USGS	04095090	2011-07-17 09:00	EST	23.3	A
USGS	04095090	2011-07-17 09:15	EST	23.4	A
USGS	04095090	2011-07-17 09:30	EST	23.4	A
USGS	04095090	2011-07-17 09:45	EST	23.6	A
USGS	04095090	2011-07-17 10:00	EST	23.5	A
USGS	04095090	2011-07-17 10:15	EST	23.6	A
USGS	04095090	2011-07-17 10:30	EST	23.6	A
USGS	04095090	2011-07-17 10:45	EST	23.6	A
USGS	04095090	2011-07-17 11:00	EST	23.7	A
USGS	04095090	2011-07-17 11:15	EST	23.8	A
USGS	04095090	2011-07-17 11:30	EST	23.8	A
USGS	04095090	2011-07-17 11:45	EST	23.6	A
USGS	04095090	2011-07-17 12:00	EST	23.7	A
USGS	04095090	2011-07-17 12:15	EST	23.7	A
USGS	04095090	2011-07-17 12:30	EST	23.8	A
USGS	04095090	2011-07-17 12:45	EST	24.0	A
USGS	04095090	2011-07-17 13:00	EST	24.1	A
USGS	04095090	2011-07-17 13:15	EST	24.1	A
USGS	04095090	2011-07-17 13:30	EST	24.0	A
USGS	04095090	2011-07-17 13:45	EST	24.1	A
USGS	04095090	2011-07-17 14:00	EST	24.1	A
USGS	04095090	2011-07-17 14:15	EST	24.0	A
USGS	04095090	2011-07-17 14:30	EST	24.1	A
USGS	04095090	2011-07-17 14:45	EST	24.2	A
USGS	04095090	2011-07-17 15:00	EST	24.2	A
USGS	04095090	2011-07-17 15:15	EST	24.2	A
USGS	04095090	2011-07-17 15:30	EST	24.3	A
USGS	04095090	2011-07-17 15:45	EST	24.3	A
USGS	04095090	2011-07-17 16:00	EST	24.5	A
USGS	04095090	2011-07-17 16:15	EST	24.6	A
USGS	04095090	2011-07-17 16:30	EST	24.7	A
USGS	04095090	2011-07-17 16:45	EST	24.8	A
USGS	04095090	2011-07-17 17:00	EST	24.9	A
USGS	04095090	2011-07-17 17:15	EST	24.9	A
USGS	04095090	2011-07-17 17:30	EST	24.9	A
USGS	04095090	2011-07-17 17:45	EST	24.9	A
USGS	04095090	2011-07-17 18:00	EST	24.8	A
USGS	04095090	2011-07-17 18:15	EST	24.9	A
USGS	04095090	2011-07-17 18:30	EST	25.2	A
USGS	04095090	2011-07-17 18:45	EST	25.4	A
USGS	04095090	2011-07-17 19:00	EST	25.5	A
USGS	04095090	2011-07-17 19:15	EST	25.4	A
USGS	04095090	2011-07-17 19:30	EST	25.5	A
USGS	04095090	2011-07-17 19:45	EST	25.6	A
USGS	04095090	2011-07-17 20:00	EST	25.6	A
USGS	04095090	2011-07-17 20:15	EST	25.6	A
USGS	04095090	2011-07-17 20:30	EST	25.7	A
USGS	04095090	2011-07-17 20:45	EST	25.9	A
USGS	04095090	2011-07-17 21:00	EST	25.9	A
USGS	04095090	2011-07-17 21:15	EST	25.9	A
USGS	04095090	2011-07-17 21:30	EST	25.8	A
USGS	04095090	2011-07-17 21:45	EST	25.9	A
USGS	04095090	2011-07-17 22:00	EST	25.8	A
USGS	04095090	2011-07-17 22:15	EST	25.8	A
USGS	04095090	2011-07-17 22:30	EST	25.8	A
USGS	04095090	2011-07-17 22:45	EST	25.7	A
USGS	04095090	2011-07-17 23:00	EST	25.8	A
USGS	04095090	2011-07-17 23:15	EST	25.9	A
USGS	04095090	2011-07-17 23:30	EST	26.0	A
USGS	04095090	2011-07-17 23:45	EST	26.0	A
USGS	04095090	2011-07-18 00:00	EST	25.9	A
USGS	04095090	2011-07-18 00:15	EST	25.9	A
USGS	04095090	2011-07-18 00:30	EST	25.8	A
USGS	04095090	2011-07-18 00:45	EST	25.7	A
USGS	04095090	2011-07-18 01:00	EST	25.6	A
USGS	04095090	2011-07-18 01:15	EST	25.5	A
USGS	04095090	2011-07-18 01:30	EST	25.5	A
USGS	04095090	2011-07-18 01:45	EST	25.5	A
USGS	04095090	2011-07-18 02:00	EST	25.4	A
USGS	04095090	2011-07-18 02:15	EST	25.5	A
USGS	04095090	2011-07-18 02:30	EST	25.5	A
USGS	04095090	2011-07-18 02:45	EST	25.5	A
USGS	04095090	2011-07-18 03:00	EST	25.5	A
USGS	04095090	2011-07-18 03:15	EST	25.4	A
USGS	04095090	2011-07-18 03:30	EST	25.3	A
USGS	04095090	2011-07-18 03:45	EST	25.3	A
USGS	04095090	2011-07-18 04:00	EST	25.2	A
USGS	04095090	2011-07-18 04:15	EST	25.2	A
USGS	04095090	2011-07-18 04:30	EST	25.2	A
USGS	04095090	2011-07-18 04:45	EST	25.0	A
USGS	04095090	2011-07-18 05:00	EST	24.9	A
USGS	04095090	2011-07-18 05:15	EST	24.9	A
USGS	04095090	2011-07-18 05:30	EST	24.9	A
USGS	04095090	2011-07-18 05:45	EST	24.9	A
USGS	04095090	2011-07-18 06:00	EST	24.8	A
USGS	04095090	2011-07-18 06:15	EST	24.8	A
USGS	04095090	2011-07-18 06:30	EST	24.8	A
USGS	04095090	2011-07-18 06:45	EST	24.9	A
USGS	04095090	2011-07-18 07:00	EST	24.8	A
USGS	04095090	2011-07-18 07:15	EST	24.7	A
USGS	04095090	2011-07-18 07:30	EST	24.7	A
USGS	04095090	2011-07-18 07:45	EST	24.7	A
USGS	04095090	2011-07-18 08:00	EST	24.7	A
USGS	04095090	2011-07-18 08:15	EST	24.8	A
USGS	04095090	2011-07-18 08:30	EST	24.8	A
USGS	04095090	2011-07-18 08:45	EST	24.9	A
USGS	04095090	2011-07-18 09:00	EST	24.9	A
USGS	04095090	2011-07-18 09:15	EST	25.2	A
USGS	04095090	2011-07-18 09:30	EST	25.2	A
USGS	04095090	2011-07-18 09:45	EST	25.3	A
USGS	04095090	2011-07-18 10:00	EST	25.4	A
USGS	04095090	2011-07-18 10:15	EST	25.3	A
USGS	04095090	2011-07-18 10:30	EST	25.1	A
USGS	04095090	2011-07-18 10:45	EST	25.2	A
USGS	04095090	2011-07-18 11:00	EST	25.4	A
USGS	04095090	2011-07-18 11:15	EST	25.6	A
USGS	04095090	2011-07-18 11:30	EST	25.3	A
USGS	04095090	2011-07-18 11:45	EST	25.1	A
USGS	04095090	2011-07-18 12:00	EST	25.1	A
USGS	04095090	2011-07-18 12:15	EST	25.2	A
USGS	04095090	2011-07-18 12:30	EST	25.3	A
USGS	04095090	2011-07-18 12:45	EST	25.6	A
USGS	04095090	2011-07-18 13:00	EST	25.5	A
USGS	04095090	2011-07-18 13:15	EST	25.6	A
USGS	04095090	2011-07-18 13:30	EST	25.6	A
USGS	04095090	2011-07-18 13:45	EST	25.6	A
USGS	04095090	2011-07-18 14:00	EST	25.8	A
USGS	04095090	2011-07-18 14:15	EST	25.8	A
USGS	04095090	2011-07-18 14:30	EST	25.7	A
USGS	04095090	2011-07-18 14:45	EST	25.6	A
USGS	04095090	2011-07-18 15:00	EST	25.8	A
USGS	04095090	2011-07-18 15:15	EST	25.9	A
USGS	04095090	2011-07-18 15:30	EST	26.0	A
USGS	04095090	2011-07-18 15:45	EST	26.1	A
USGS	04095090	2011-07-18 16:00	EST	25.9	A
USGS	04095090	2011-07-18 16:15	EST	25.8	A
USGS	04095090	2011-07-18 16:30	EST	25.9	A
USGS	04095090	2011-07-18 16:45	EST	25.9	A
USGS	04095090	2011-07-18 17:00	EST	25.9	A
USGS	04095090	2011-07-18 17:15	EST	26.0	A
USGS	04095090	2011-07-18 17:30	EST	26.0	A
USGS	04095090	2011-07-18 17:45	EST	26.0	A
USGS	04095090	2011-07-18 18:00	EST	26.0	A
USGS	04095090	2011-07-18 18:15	EST	26.0	A
USGS	04095090	2011-07-18 18:30	EST	26.0	A
USGS	04095090	2011-07-18 18:45	EST	26.2	A
USGS	04095090	2011-07-18 19:00	EST	26.2	A
USGS	04095090	2011-07-18 19:15	EST	26.2	A
USGS	04095090	2011-07-18 19:30	EST	26.2	A
USGS	04095090	2011-07-18 19:45	EST	26.3	A
USGS	04095090	2011-07-18 20:00	EST	26.2	A
USGS	04095090	2011-07-18 20:15	EST	26.2	A
USGS	04095090	2011-07-18 20:30	EST	26.2	A
USGS	04095090	2011-07-18 20:45	EST	26.3	A
USGS	04095090	2011-07-18 21:00	EST	26.3	A
USGS	04095090	2011-07-18 21:15	EST	26.4	A
USGS	04095090	2011-07-18 21:30	EST	26.5	A
USGS	04095090	2011-07-18 21:45	EST	26.4	A
USGS	04095090	2011-07-18 22:00	EST	26.4	A
USGS	04095090	2011-07-18 22:15	EST	26.4	A
USGS	04095090	2011-07-18 22:30	EST	26.4	A
USGS	04095090	2011-07-18 22:45	EST	26.3	A
USGS	04095090	2011-07-18 23:00	EST	26.3	A
USGS	04095090	2011-07-18 23:15	EST	26.2	A
USGS	04095090	2011-07-18 23:30	EST	26.2	A
USGS	04095090	2011-07-18 23:45	EST	26.2	A
USGS	04095090	2011-07-19 00:00	EST	26.2	A
USGS	04095090	2011-07-19 00:15	EST	26.2	A
USGS	04095090	2011-07-19 00:30	EST	26.2	A
USGS	04095090	2011-07-19 00:45	EST	26.1	A
USGS	04095090	2011-07-19 01:00	EST	26.1	A
USGS	04095090	2011-07-19 01:15	EST	26.1	A
USGS	04095090	2011-07-19 01:30	EST	26.1	A
USGS	04095090	2011-07-19 01:45	EST	26.1	A
USGS	04095090	2011-07-19 02:00	EST	26.0	A
USGS	04095090	2011-07-19 02:15	EST	26.0	A
USGS	04095090	2011-07-19 02:30	EST	25.9	A
USGS	04095090	2011-07-19 02:45	EST	25.8	A
USGS	04095090	2011-07-19 03:00	EST	25.8	A
USGS	04095090	2011-07-19 03:15	EST	25.8	A
USGS	04095090	2011-07-19 03:30	EST	25.6	A
USGS	04095090	2011-07-19 03:45	EST	25.6	A
USGS	04095090	2011-07-19 04:00	EST	25.6	A
USGS	04095090	2011-07-19 04:15	EST	25.7	A
USGS	04095090	2011-07-19 04:30	EST	25.6	A
USGS	04095090	2011-07-19 04:45	EST	25.5	A
USGS	04095090	2011-07-19 05:00	EST	25.5	A
USGS	04095090	2011-07-19 05:15	EST	25.5	A
USGS	04095090	2011-07-19 05:30	EST	25.5	A
USGS	04095090	2011-07-19 05:45	EST	25.5	A
USGS	04095090	2011-07-19 06:00	EST	25.4	A
USGS	04095090	2011-07-19 06:15	EST	25.4	A
USGS	04095090	2011-07-19 06:30	EST	25.4	A
USGS	04095090	2011-07-19 06:45	EST	25.4	A
USGS	04095090	2011-07-19 07:00	EST	25.4	A
USGS	04095090	2011-07-19 07:15	EST	25.4	A
USGS	04095090	2011-07-19 07:30	EST	25.4	A
USGS	04095090	2011-07-19 07:45	EST	25.5	A
USGS	04095090	2011-07-19 08:00	EST	25.6	A
USGS	04095090	2011-07-19 08:15	EST	25.7	A
USGS	04095090	2011-07-19 08:30	EST	25.6	A
USGS	04095090	2011-07-19 08:45	EST	25.6	A
USGS	04095090	2011-07-19 09:00	EST	25.7	A
USGS	04095090	2011-07-19 09:15	EST	25.7	A
USGS	04095090	2011-07-19 09:30	EST	25.5	A
USGS	04095090	2011-07-19 09:45	EST	25.5	A
USGS	04095090	2011-07-19 10:00	EST	25.5	A
USGS	04095090	2011-07-19 10:15	EST	25.6	A
USGS	04095090	2011-07-19 10:30	EST	25.6	A
USGS	04095090	2011-07-19 10:45	EST	25.6	A
USGS	04095090	2011-07-19 11:00	EST	25.7	A
USGS	04095090	2011-07-19 11:15	EST	25.8	A
USGS	04095090	2011-07-19 11:30	EST	25.8	A
USGS	04095090	2011-07-19 11:45	EST	25.6	A
USGS	04095090	2011-07-19 12:00	EST	25.7	A
USGS	04095090	2011-07-19 12:15	EST	25.8	A
USGS	04095090	2011-07-19 12:30	EST	25.8	A
USGS	04095090	2011-07-19 12:45	EST	25.8	A
USGS	04095090	2011-07-19 13:00	EST	25.9	A
USGS	04095090	2011-07-19 13:15	EST	25.8	A
USGS	04095090	2011-07-19 13:30	EST	25.8	A
USGS	04095090	2011-07-19 13:45	EST	25.9	A
USGS	04095090	2011-07-19 14:00	EST	26.0	A
USGS	04095090	2011-07-19 14:15	EST	26.1	A
USGS	04095090	2011-07-19 14:30	EST	26.1	A
USGS	04095090	2011-07-19 14:45	EST	26.1	A
USGS	04095090	2011-07-19 15:00	EST	26.2	A
USGS	04095090	2011-07-19 15:15	EST	26.3	A
USGS	04095090	2011-07-19 15:30	EST	26.2	A
USGS	04095090	2011-07-19 15:45	EST	26.4	A
USGS	04095090	2011-07-19 16:00	EST	26.4	A
USGS	04095090	2011-07-19 16:15	EST	26.4	A
USGS	04095090	2011-07-19 16:30	EST	26.4	A
USGS	04095090	2011-07-19 16:45	EST	26.5	A
USGS	04095090	2011-07-19 17:00	EST	26.4	A
USGS	04095090	2011-07-19 17:15	EST	26.5	A
USGS	04095090	2011-07-19 17:30	EST	26.5	A
USGS	04095090	2011-07-19 17:45	EST	26.5	A
USGS	04095090	2011-07-19 18:00	EST	26.8	A
USGS	04095090	2011-07-19 18:15	EST	26.9	A
USGS	04095090	2011-07-19 18:30	EST	27.0	A
USGS	04095090	2011-07-19 18:45	EST	27.0	A
USGS	04095090	2011-07-19 19:00	EST	27.0	A
USGS	04095090	2011-07-19 19:15	EST	27.0	A
USGS	04095090	2011-07-19 19:30	EST	27.0	A
